Production Enquiry as of 31/10/2025,,,,,,,,,
Assembly Number,Assembly Date,Assemble By,Product Code,Product Description,Product Group,Warehouse,Quantity,Total Cost,Assembly Status
ASM-00031806,,30/10/2025,PRE-BR54-SET,Breville 54mm Hybrid Precision Set,PESADO,Main Warehouse,1,43.06,Parked
ASM-00031805,,30/10/2025,PSDHY,Pesado HYBRID Double Spouted Attachment - (LM 6mm - NS - BR 58),PESADO,Main Warehouse,-1,-9.63,Parked
ASM-00031805,,30/10/2025,PSD-HE-LG,Pesado He[%] Basket - Large,PESADO,Main Warehouse,-1,-13.26,Parked
ASM-00031805,,30/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Parked
ASM-00031805,,30/10/2025,PFMOD2-Silver,Pesado Portafilter Multi  Handle Module 2 - Silver,PESADO,Main Warehouse,-1,-7.34,Parked
ASM-00031805,,30/10/2025,PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.10,Parked
ASM-00031805,,30/10/2025,PFH00MV-HY,Pesado HYBRID Naked Portafilter Head Only - 5mm E61,PESADO,Main Warehouse,-1,-18.51,Parked
ASM-00031805,,30/10/2025,PRE_SETMV,5mm E61 Hybrid Precision Set,PESADO,Main Warehouse,1,52.23,Parked
ASM-00031804,,30/10/2025,PSDHY-BR,Pesado HYBRID Double Spouted Attachment - (Breville 54),PESADO,Main Warehouse,-1,-9.46,Parked
ASM-00031804,,30/10/2025,PortafilterSpring,Filter Blocking Spring 1.20mm,Coffee Machine Parts & Accesories,Main Warehouse,-1,-0.39,Parked
ASM-00031804,,30/10/2025,PFMOD2-Iris,Pesado Portafilter Multi Handle Module 2 - Iris,PESADO,Main Warehouse,-1,-6.98,Parked
ASM-00031804,,30/10/2025,PFMOD1-Black,Pesado Portafilter Multi  Handle Module 1 - Black,PESADO,Main Warehouse,-1,-3.10,Parked
ASM-00031804,,30/10/2025,PFH00BR54-HY,Pesado HYBRID Naked Portafilter Head Only Breville 54mm,PESADO,Main Warehouse,-1,-17.47,Parked
ASM-00031804,,30/10/2025,PF02BR54BK-Iris-HY,Pesado HYBRID Double Spouted Portafilter Breville 54mm - Black/Iris,PESADO,Main Warehouse,1,37.40,Parked
